Order in the DSM-5,DSM-5 Chapter,DSM-5 Disorder,Constituent symptom (wording from DSM-5),Unique symptom number (index for duplicate symptoms; sort by this column to see the groups of symptoms that have been coded as redundant),"Specifier ( 0 = primary diagnosis, 1 = specifier)","Repeats at all (0 = no, 1 = yes)","Repeats within a chapter (0=no, 1=yes)",Number of diagnoses symptom appears in (count),"Repeats between chapters (0=no, 1=yes)",Number of chapters symptom appears in (count)
40,Ch1 - Neurodevelopmental Disorders,Autism Spectrum Disorder - With catatonia,"Catalepsy/posturing (ie, passive induction of a posture held against gravity)",66,1,1,0,4,1,4
41,Ch1 - Neurodevelopmental Disorders,Autism Spectrum Disorder - With catatonia,"Waxy flexibility (ie, slight, even resistance to positioning by examiner)",65,1,1,0,4,1,4
42,Ch1 - Neurodevelopmental Disorders,Autism Spectrum Disorder - With catatonia,"Mutism (ie, no, or very little, verbal response [exclude if known aphasia])",289,1,1,1,7,1,5
43,Ch1 - Neurodevelopmental Disorders,Autism Spectrum Disorder - With catatonia,"Negativism (ie, opposition or no response to instructions or external stimuli)",596,1,1,0,4,1,4
44,Ch1 - Neurodevelopmental Disorders,Autism Spectrum Disorder - With catatonia,"Mannerism (ie, odd, circumstantial caricature of normal actions)",597,1,1,0,4,1,4
45,Ch1 - Neurodevelopmental Disorders,Autism Spectrum Disorder - With catatonia,"Stereotypy (ie, repetitive, abnormally frequent, non-goal-directed movements) ",40,1,1,1,9,1,7
46,Ch1 - Neurodevelopmental Disorders,Autism Spectrum Disorder - With catatonia,Agitation,612,1,1,1,6,1,5
47,Ch1 - Neurodevelopmental Disorders,Autism Spectrum Disorder - With catatonia,Grimacing,65.1,1,1,0,4,1,4
48,Ch1 - Neurodevelopmental Disorders,Autism Spectrum Disorder - With catatonia,"Echolalia (ie, mimicking another’s speech) ",41,1,1,1,6,1,5
49,Ch1 - Neurodevelopmental Disorders,Autism Spectrum Disorder - With catatonia,"Echopraxia (ie, mimicking another’s movements)",584,1,1,0,4,1,4
50,Ch1 - Neurodevelopmental Disorders,Attention-Deficit/Hyperactivity Disorder,"Often fails to give close attention to details or makes careless mistakes in schoolwork, at work, or during other activities (eg, overlooks or misses details, work is inaccurate)",267,0,1,0,2,1,2
51,Ch1 - Neurodevelopmental Disorders,Attention-Deficit/Hyperactivity Disorder,"Difficulty sustaining attention in tasks or play activities (eg, has difficulty remaining focused during lectures, conversations, or lengthy reading)",46,0,0,0,1,0,1
52,Ch1 - Neurodevelopmental Disorders,Attention-Deficit/Hyperactivity Disorder,"Often does not seem to listen when spoken to directly (eg, mind seems elsewhere, even in the absence of any obvious distraction)",268,0,0,0,1,0,1
53,Ch1 - Neurodevelopmental Disorders,Attention-Deficit/Hyperactivity Disorder,Often does not follow through on instructions (eg starts tasks but quickly loses focus and is easily sidetracked),269,0,0,0,1,0,1
54,Ch1 - Neurodevelopmental Disorders,Attention-Deficit/Hyperactivity Disorder,"Often fails to finish schoolwork, chores, or duties in the workplace (eg starts tasks but quickly loses focus and is easily sidetracked)",270,0,0,0,1,0,1
55,Ch1 - Neurodevelopmental Disorders,Attention-Deficit/Hyperactivity Disorder,"Often has difficulty organizing tasks and activities (eg, difficulty managing sequential tasks; difficulty keeping materials and belongings in order; messy, disorganized work; has poor time management; fails to meet deadlines)",47,0,0,0,1,0,1
56,Ch1 - Neurodevelopmental Disorders,Attention-Deficit/Hyperactivity Disorder,"Often avoids, dislikes, or is reluctant to engage in tasks that require sustained mental effort (eg, schoolwork or homework; for older adolescents and adults, preparing reports, completing forms, reviewing lengthy papers)",574,0,0,0,1,0,1
57,Ch1 - Neurodevelopmental Disorders,Attention-Deficit/Hyperactivity Disorder,"Often loses things necessary for tasks or activities (eg, school materials, pencils, books, tools, wallets, keys, paperwork, eyeglasses, mobile telephones)",48,0,0,0,1,0,1
58,Ch1 - Neurodevelopmental Disorders,Attention-Deficit/Hyperactivity Disorder,"Often easily distracted by extraneous stimuli (for older adolescents and adults, may include unrelated thoughts)",224,0,1,1,7,1,4
59,Ch1 - Neurodevelopmental Disorders,Attention-Deficit/Hyperactivity Disorder,"Is often forgetful in daily activities (eg, doing chores, running errands; for older adolescents and adults, returning calls, paying bills, keeping appointments)",271,0,0,0,1,0,1
60,Ch1 - Neurodevelopmental Disorders,Attention-Deficit/Hyperactivity Disorder,Often fidgets with or taps hands or feet,272,0,0,0,1,0,1
61,Ch1 - Neurodevelopmental Disorders,Attention-Deficit/Hyperactivity Disorder,Often squirms in seat,273,0,0,0,1,0,1
62,Ch1 - Neurodevelopmental Disorders,Attention-Deficit/Hyperactivity Disorder,"Often leaves seat in situations when remaining seated is expected (eg, leaves his or her place in the classroom, in the office or other workplace, or in other situations that require remaining in place)",274,0,0,0,1,0,1
63,Ch1 - Neurodevelopmental Disorders,Attention-Deficit/Hyperactivity Disorder,Often runs about or climbs in situations where it is inappropriate,275,0,0,0,1,0,1
64,Ch1 - Neurodevelopmental Disorders,Attention-Deficit/Hyperactivity Disorder,Feeling restless,276,0,1,1,10,1,7
65,Ch1 - Neurodevelopmental Disorders,Attention-Deficit/Hyperactivity Disorder,Often unable to play or engage in leisure activities quietly,277,0,0,0,1,0,1
66,Ch1 - Neurodevelopmental Disorders,Attention-Deficit/Hyperactivity Disorder,"Is often “on the go,” acting as if “driven by a motor” (eg, is unable to be or uncomfortable being still for extended time, as in restaurants, meetings; may be experienced by others as being restless or difficult to keep up with)",278,0,0,0,1,0,1
67,Ch1 - Neurodevelopmental Disorders,Attention-Deficit/Hyperactivity Disorder,Often talks excessively,654,0,0,0,1,0,1
68,Ch1 - Neurodevelopmental Disorders,Attention-Deficit/Hyperactivity Disorder,"Often blurts out an answer before a question has been completed (eg, completes people’s sentences; cannot wait for turn in conversation)",279,0,0,0,1,0,1
69,Ch1 - Neurodevelopmental Disorders,Attention-Deficit/Hyperactivity Disorder,"Difficulty waiting his or her turn (eg, while waiting in line)",280,0,1,1,3,1,2
70,Ch1 - Neurodevelopmental Disorders,Attention-Deficit/Hyperactivity Disorder,"Often interrupts others (eg, butts into conversations, games, or activities)",281,0,1,1,3,1,2
71,Ch1 - Neurodevelopmental Disorders,Attention-Deficit/Hyperactivity Disorder,"Often intrudes on others (eg may start using other people's things without asking or receiving permission; for adolescents and adults, may intrude into or take over what others are doing)",282,0,1,1,3,1,2
72,Ch1 - Neurodevelopmental Disorders,Specific Learning Disorder,"Inaccurate word reading (eg reads single words aloud incorrectly, frequently guesses words, has difficulty sounding out words)",283,0,0,0,1,0,1
73,Ch1 - Neurodevelopmental Disorders,Specific Learning Disorder,"Slow and effortful word reading (eg reads words aloud slowly and hesitantly, frequently guesses words, has difficulty sounding out words)",284,0,0,0,1,0,1
74,Ch1 - Neurodevelopmental Disorders,Specific Learning Disorder,"Difficulty understanding the meaning of what is read (eg, may read text accurately but not understand the sequence, relationships, inferences, or deeper meanings of what is read)",285,0,0,0,1,0,1
75,Ch1 - Neurodevelopmental Disorders,Specific Learning Disorder,"Difficulties with spelling (eg, may add, omit, or substitute vowels or consonants)",286,0,0,0,1,0,1
76,Ch1 - Neurodevelopmental Disorders,Specific Learning Disorder,"Difficulties with written expression (eg, makes multiple grammatical or punctuation errors within sentences; employs poor paragraph organization; written expression of ideas lacks clarity)",50,0,0,0,1,0,1
77,Ch1 - Neurodevelopmental Disorders,Specific Learning Disorder,"Difficulties mastering number sense, number facts, or calculation (eg, has poor understanding of numbers, their magnitude, and relationships; counts on fingers to add single-digit numbers instead of recalling the math fact as peers do; gets lost in the midst of arithmetic computation and may switch procedures)",51,0,0,0,1,0,1
78,Ch1 - Neurodevelopmental Disorders,Specific Learning Disorder,"Difficulties with mathematical reasoning (eg, has severe difficulty applying mathematical concepts, facts, or procedures to solve quantitative problems)",52,0,0,0,1,0,1
79,Ch1 - Neurodevelopmental Disorders,Developmental Coordination Disorder,"Clumsiness (eg dropping or bumping into objects); Slowness of performance of motor skills (eg, catching an object, or participating in sports); Inaccuracy of performance of motor skills (eg, catching an object, using scissors or cutlery, handwriting, riding a bike, or participating in sports)",178,0,1,1,9,1,3
80,Ch1 - Neurodevelopmental Disorders,Stereotypic Movement Disorder,"Repetitive, seemingly driven, and apparently purposeless motor behavior (eg, hand shaking or waving, body rocking, head banging, self-biting, hitting own body)",40,0,1,1,9,1,7
81,Ch1 - Neurodevelopmental Disorders,Stereotypic Movement Disorder - With self-injurious behavior,Self-injurious behavior or behavior that would result in an injury if preventive measures were not used,40.1,1,0,0,1,0,1
82,Ch1 - Neurodevelopmental Disorders,Tourette’s Disorder,Motor tics,53,0,1,1,3,0,1
83,Ch1 - Neurodevelopmental Disorders,Tourette’s Disorder,Vocal tics,54,0,1,1,3,0,1
84,Ch1 - Neurodevelopmental Disorders,Persistent (Chronic) Motor or Vocal Tic Disorder ,Motor tics,53,0,1,1,3,0,1
85,Ch1 - Neurodevelopmental Disorders,Persistent (Chronic) Motor or Vocal Tic Disorder ,Vocal tics,54,0,1,1,3,0,1
86,Ch1 - Neurodevelopmental Disorders,Provisional Tic Disorder,Motor tics,53,0,1,1,3,0,1
87,Ch1 - Neurodevelopmental Disorders,Provisional Tic Disorder,Vocal tics,54,0,1,1,3,0,1
88,Ch2 - Schizophrenia Spectrum and Other Psychotic Disorders,Delusional Disorder,One (or more) delusions,594,0,1,1,8,1,4
89,Ch2 - Schizophrenia Spectrum and Other Psychotic Disorders,Delusional Disorder - Erotomaniac type,The delusion is that another person is in love with the individual,55,1,0,0,1,0,1
90,Ch2 - Schizophrenia Spectrum and Other Psychotic Disorders,Delusional Disorder - Grandiose type,The delusion is the conviction of having some great (but unrecognized) talent or insight or having made some important discovery,56,1,1,0,2,1,2
91,Ch2 - Schizophrenia Spectrum and Other Psychotic Disorders,Delusional Disorder - Jealous type,The individual’s delusion is that his or her spouse or lover is unfaithful,57,1,1,0,2,1,2
92,Ch2 - Schizophrenia Spectrum and Other Psychotic Disorders,Delusional Disorder - Persecutory type,"The delusion involves the individual’s belief that he or she is being conspired against, cheated, spied on, followed, poisoned or drugged, maliciously maligned, harassed, or obstructed in the pursuit of long-term goals",642,1,1,0,2,1,2
93,Ch2 - Schizophrenia Spectrum and Other Psychotic Disorders,Delusional Disorder - Somatic type,The delusion involves bodily functions or sensations,58,1,0,0,1,0,1
94,Ch2 - Schizophrenia Spectrum and Other Psychotic Disorders,Delusional Disorder - With bizarre content,"Delusions contain bizarre content (Delusions are deemed bizarre if they are clearly implausible, not understandable, and not derived from ordinary life experiences (eg, an individual’s belief that a stranger has removed his or her internal organs and replaced them with someone else’s organs without leaving any wounds or scars))",59,1,0,0,1,0,1
95,Ch2 - Schizophrenia Spectrum and Other Psychotic Disorders,Brief Psychotic Disorder,Delusions,594,0,1,1,8,1,4
96,Ch2 - Schizophrenia Spectrum and Other Psychotic Disorders,Brief Psychotic Disorder,Hallucinations,287,0,1,1,14,1,5
97,Ch2 - Schizophrenia Spectrum and Other Psychotic Disorders,Brief Psychotic Disorder,Disorganized speech (eg frequent derailment or incoherence),60,0,1,1,5,1,2
98,Ch2 - Schizophrenia Spectrum and Other Psychotic Disorders,Brief Psychotic Disorder,Grossly disorganized behavior,61,0,1,1,4,0,1
99,Ch2 - Schizophrenia Spectrum and Other Psychotic Disorders,Brief Psychotic Disorder,Catatonic behaviour,64.1,0,1,1,4,0,1
100,Ch2 - Schizophrenia Spectrum and Other Psychotic Disorders,Schizophreniform Disorder,Delusions,594,0,1,1,8,1,4
101,Ch2 - Schizophrenia Spectrum and Other Psychotic Disorders,Schizophreniform Disorder,Hallucinations,287,0,1,1,14,1,5
102,Ch2 - Schizophrenia Spectrum and Other Psychotic Disorders,Schizophreniform Disorder,Disorganized speech (eg frequent derailment or incoherence),60,0,1,1,5,1,2
103,Ch2 - Schizophrenia Spectrum and Other Psychotic Disorders,Schizophreniform Disorder,Grossly disorganized behavior,61,0,1,1,4,0,1
104,Ch2 - Schizophrenia Spectrum and Other Psychotic Disorders,Schizophreniform Disorder,Catatonic behaviour,64.1,0,1,1,4,0,1
105,Ch2 - Schizophrenia Spectrum and Other Psychotic Disorders,Schizophreniform Disorder,Diminished emotional expression,62,0,1,1,6,1,3
106,Ch2 - Schizophrenia Spectrum and Other Psychotic Disorders,Schizophreniform Disorder,Avolition,595,0,1,1,3,0,1
107,Ch2 - Schizophrenia Spectrum and Other Psychotic Disorders,Schizophrenia,Delusions,594,0,1,1,8,1,4
108,Ch2 - Schizophrenia Spectrum and Other Psychotic Disorders,Schizophrenia,Hallucinations,287,0,1,1,14,1,5
109,Ch2 - Schizophrenia Spectrum and Other Psychotic Disorders,Schizophrenia,Disorganized speech (eg frequent derailment or incoherence),60,0,1,1,5,1,2
110,Ch2 - Schizophrenia Spectrum and Other Psychotic Disorders,Schizophrenia,Grossly disorganized behavior,61,0,1,1,4,0,1
111,Ch2 - Schizophrenia Spectrum and Other Psychotic Disorders,Schizophrenia,Catatonic behaviour,64.1,0,1,1,4,0,1
112,Ch2 - Schizophrenia Spectrum and Other Psychotic Disorders,Schizophrenia,Diminished emotional expression,62,0,1,1,6,1,3
113,Ch2 - Schizophrenia Spectrum and Other Psychotic Disorders,Schizophrenia,Avolition,595,0,1,1,3,0,1
114,Ch2 - Schizophrenia Spectrum and Other Psychotic Disorders,Schizoaffective Disorder,Depressed mood,295,0,1,1,15,1,6
115,Ch2 - Schizophrenia Spectrum and Other Psychotic Disorders,Schizoaffective Disorder,"Diminished interest in all, or almost all, activities",296,0,1,1,7,1,4
116,Ch2 - Schizophrenia Spectrum and Other Psychotic Disorders,Schizoaffective Disorder,"Diminished pleasure in all, or almost all, activities",63,0,1,1,8,1,4
117,Ch2 - Schizophrenia Spectrum and Other Psychotic Disorders,Schizoaffective Disorder,Significant weight loss,297,0,1,1,10,1,5
118,Ch2 - Schizophrenia Spectrum and Other Psychotic Disorders,Schizoaffective Disorder,Significant weight gain,298,0,1,1,8,1,3
119,Ch2 - Schizophrenia Spectrum and Other Psychotic Disorders,Schizoaffective Disorder,Decrease in appetite,299,0,1,1,10,1,4
120,Ch2 - Schizophrenia Spectrum and Other Psychotic Disorders,Schizoaffective Disorder,Increase in appetite,300,0,1,1,12,1,5
121,Ch2 - Schizophrenia Spectrum and Other Psychotic Disorders,Schizoaffective Disorder,Insomnia,301,0,1,1,22,1,8
122,Ch2 - Schizophrenia Spectrum and Other Psychotic Disorders,Schizoaffective Disorder,Hypersomnia,630,0,1,1,17,1,6
123,Ch2 - Schizophrenia Spectrum and Other Psychotic Disorders,Schizoaffective Disorder,Psychomotor agitation,598,0,1,1,16,1,5
124,Ch2 - Schizophrenia Spectrum and Other Psychotic Disorders,Schizoaffective Disorder,Psychomotor retardation,69,0,1,1,14,1,5
125,Ch2 - Schizophrenia Spectrum and Other Psychotic Disorders,Schizoaffective Disorder,Fatigue or loss of energy,662,0,1,1,12,1,6
126,Ch2 - Schizophrenia Spectrum and Other Psychotic Disorders,Schizoaffective Disorder,Feelings of worthlessness,302,0,1,1,5,1,3
127,Ch2 - Schizophrenia Spectrum and Other Psychotic Disorders,Schizoaffective Disorder,Feelings of inappropriate or excessive guilt (which may be delusional),679,0,1,1,7,1,3
128,Ch2 - Schizophrenia Spectrum and Other Psychotic Disorders,Schizoaffective Disorder,Diminished ability to think or concentrate,70,0,1,1,17,1,7
129,Ch2 - Schizophrenia Spectrum and Other Psychotic Disorders,Schizoaffective Disorder,Indecisiveness,579,0,1,1,7,1,4
130,Ch2 - Schizophrenia Spectrum and Other Psychotic Disorders,Schizoaffective Disorder,Thoughts of death (not just fear of dying),303,0,1,1,5,1,3
131,Ch2 - Schizophrenia Spectrum and Other Psychotic Disorders,Schizoaffective Disorder,Suicidal ideation without a specific plan,71,0,1,1,5,1,3
132,Ch2 - Schizophrenia Spectrum and Other Psychotic Disorders,Schizoaffective Disorder,Suicide attempt,550,0,1,1,6,1,4
133,Ch2 - Schizophrenia Spectrum and Other Psychotic Disorders,Schizoaffective Disorder,Specific plan for committing suicide,551,0,1,1,5,1,3
134,Ch2 - Schizophrenia Spectrum and Other Psychotic Disorders,Schizoaffective Disorder,Elevated mood,290,0,1,1,10,1,4
135,Ch2 - Schizophrenia Spectrum and Other Psychotic Disorders,Schizoaffective Disorder,Expansive mood,67,0,1,1,5,1,3
136,Ch2 - Schizophrenia Spectrum and Other Psychotic Disorders,Schizoaffective Disorder,Irritable mood,291,0,1,1,16,1,8
137,Ch2 - Schizophrenia Spectrum and Other Psychotic Disorders,Schizoaffective Disorder,Increased activity or energy,659,0,1,1,5,1,3
138,Ch2 - Schizophrenia Spectrum and Other Psychotic Disorders,Schizoaffective Disorder,Inflated self-esteem,530,0,1,1,5,1,3
139,Ch2 - Schizophrenia Spectrum and Other Psychotic Disorders,Schizoaffective Disorder,Grandiosity,529,0,1,1,5,1,3
140,Ch2 - Schizophrenia Spectrum and Other Psychotic Disorders,Schizoaffective Disorder,"Decreased need for sleep (eg, feels rested after only 3 hours of sleep)",660,0,1,1,4,1,2
141,Ch2 - Schizophrenia Spectrum and Other Psychotic Disorders,Schizoaffective Disorder,More talkative than usual,49,0,1,1,4,1,2
142,Ch2 - Schizophrenia Spectrum and Other Psychotic Disorders,Schizoaffective Disorder,Pressure to keep talking,292,0,1,1,4,1,2
143,Ch2 - Schizophrenia Spectrum and Other Psychotic Disorders,Schizoaffective Disorder,Flight of ideas,293,0,1,1,4,1,2
144,Ch2 - Schizophrenia Spectrum and Other Psychotic Disorders,Schizoaffective Disorder,Subjective experience that thoughts are racing,294,0,1,1,4,1,2
145,Ch2 - Schizophrenia Spectrum and Other Psychotic Disorders,Schizoaffective Disorder,"Distractibility (ie, attention too easily drawn to unimportant or irrelevant external stimuli), as reported or observed",224,0,1,1,7,1,4
146,Ch2 - Schizophrenia Spectrum and Other Psychotic Disorders,Schizoaffective Disorder,"Increase in goal-directed activity (either socially, at work or school, or sexually)",673,0,1,1,4,1,2
147,Ch2 - Schizophrenia Spectrum and Other Psychotic Disorders,Schizoaffective Disorder,"Excessive involvement in activities that have a high potential for painful consequences (eg, engaging in unrestrained buying sprees, sexual indiscretions, or foolish business investments)",68,0,1,1,5,1,4
148,Ch2 - Schizophrenia Spectrum and Other Psychotic Disorders,Schizoaffective Disorder,Delusions,594,0,1,1,8,1,4
149,Ch2 - Schizophrenia Spectrum and Other Psychotic Disorders,Schizoaffective Disorder,Hallucinations,287,0,1,1,14,1,5
150,Ch2 - Schizophrenia Spectrum and Other Psychotic Disorders,Schizoaffective Disorder,Disorganized speech (eg frequent derailment or incoherence),60,0,1,1,5,1,2
151,Ch2 - Schizophrenia Spectrum and Other Psychotic Disorders,Schizoaffective Disorder,Grossly disorganized behavior,61,0,1,1,4,0,1
152,Ch2 - Schizophrenia Spectrum and Other Psychotic Disorders,Schizoaffective Disorder,Catatonic behaviour,64.1,0,1,1,4,0,1
153,Ch2 - Schizophrenia Spectrum and Other Psychotic Disorders,Schizoaffective Disorder,Diminished emotional expression,62,0,1,1,6,1,3
154,Ch2 - Schizophrenia Spectrum and Other Psychotic Disorders,Schizoaffective Disorder,Avolition,595,0,1,1,3,0,1
155,Ch2 - Schizophrenia Spectrum and Other Psychotic Disorders,Catatonia Specifier,Stupor,64,1,1,1,9,1,7
156,Ch2 - Schizophrenia Spectrum and Other Psychotic Disorders,Catatonia Specifier,"Catalepsy/posturing (ie, passive induction of a posture held against gravity)",66,1,1,0,4,1,4
157,Ch2 - Schizophrenia Spectrum and Other Psychotic Disorders,Catatonia Specifier,"Waxy flexibility (ie, slight, even resistance to positioning by examiner)",65,1,1,0,4,1,4
158,Ch2 - Schizophrenia Spectrum and Other Psychotic Disorders,Catatonia Specifier,"Mutism (ie, no, or very little, verbal response [exclude if known aphasia])",289,1,1,1,7,1,5
159,Ch2 - Schizophrenia Spectrum and Other Psychotic Disorders,Catatonia Specifier,"Negativism (ie, opposition or no response to instructions or external stimuli)",596,1,1,0,4,1,4
160,Ch2 - Schizophrenia Spectrum and Other Psychotic Disorders,Catatonia Specifier,"Mannerism (ie, odd, circumstantial caricature of normal actions)",597,1,1,0,4,1,4
161,Ch2 - Schizophrenia Spectrum and Other Psychotic Disorders,Catatonia Specifier,"Stereotypy (ie, repetitive, abnormally frequent, non-goal-directed movements) ",40,1,1,1,9,1,7
162,Ch2 - Schizophrenia Spectrum and Other Psychotic Disorders,Catatonia Specifier,Agitation,612,1,1,1,6,1,5
163,Ch2 - Schizophrenia Spectrum and Other Psychotic Disorders,Catatonia Specifier,Grimacing,65.1,1,1,0,4,1,4
164,Ch2 - Schizophrenia Spectrum and Other Psychotic Disorders,Catatonia Specifier,"Echolalia (ie, mimicking another’s speech) ",41,1,1,1,6,1,5
165,Ch2 - Schizophrenia Spectrum and Other Psychotic Disorders,Catatonia Specifier,"Echopraxia (ie, mimicking another’s movements)",584,1,1,0,4,1,4
166,Ch3 - Bipolar and Related Disorders,Bipolar I Disorder,Elevated mood,290,0,1,1,10,1,4
167,Ch3 - Bipolar and Related Disorders,Bipolar I Disorder,Expansive mood,67,0,1,1,5,1,3
